verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey
Cyanerpes cyaneus,"Cyanerpes cyaneus (Linnaeus, 1766)",2488890,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Cyanerpes,Cyanerpes cyaneus,Cyanerpes cyaneus,"(Linnaeus, 1766)",2488890
Cyanthillium cinereum,Cyanthillium cinereum (L.) H.Rob.,6445734,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cyanthillium,Cyanthillium cinereum,Cyanthillium cinereum,(L.) H.Rob.,6445734
Cycloneda sanguinea,"Cycloneda sanguinea (Linnaeus, 1763)",1043105,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Cycloneda,Cycloneda sanguinea,Cycloneda sanguinea,"(Linnaeus, 1763)",1043105
Cymaenes tripunctus,"Cymaenes tripunctus (Herrich-Schäffer, 1865)",1947037,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Cymaenes,Cymaenes tripunctus,Cymaenes tripunctus,"(Herrich-Schäffer, 1865)",1947037
Cynodon dactylon,Cynodon dactylon (L.) Pers.,6109637,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cynodon,Cynodon dactylon,Cynodon dactylon,(L.) Pers.,6109637
Cyperus esculentus,Cyperus esculentus L.,2716226,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus esculentus,Cyperus esculentus,L.,2716226
Cyperus rotundus,Cyperus rotundus L.,2714818,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus rotundus,Cyperus rotundus,L.,2714818
Cyrtocymura scorpioides,Cyrtocymura scorpioides (Lam.) H.Rob.,3124828,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cyrtocymura,Cyrtocymura scorpioides,Cyrtocymura scorpioides,(Lam.) H.Rob.,3124828
Dactyloctenium aegyptium,Dactyloctenium aegyptium (L.) Willd.,2706188,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Dactyloctenium,Dactyloctenium aegyptium,Dactyloctenium aegyptium,(L.) Willd.,2706188
Danaus erippus,"Danaus erippus (Cramer, 1775)",5881400,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus erippus,Danaus erippus,"(Cramer, 1775)",5881400
Danaus plexippus,"Danaus plexippus (Linnaeus, 1758)",5133088,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,Danaus plexippus,"(Linnaeus, 1758)",5133088
Desmodium incanum,Desmodium incanum (Sw.) DC.,2967060,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,Desmodium incanum,Desmodium incanum,(Sw.) DC.,2967060
Desmodium triflorum,Desmodium triflorum Wall. ex Wight & Arn.,11381502,EDITED,97,SYNONYM,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Grona,Grona heterophylla,Desmodium triflorum,,11381502
Dieffenbachia,Dieffenbachia Schott,2869330,HIGHERRANK,94,ACCEPTED,GENUS,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dieffenbachia,,Dieffenbachia,Schott,2869330
Digitaria insularis,Digitaria insularis (L.) Mez ex Ekman,5289938,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Digitaria,Digitaria insularis,Digitaria insularis,(L.) Mez ex Ekman,5289938
Dione juno,"Dione juno Cramer, 1779",5925238,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dione,Dione juno,Dione juno,"Cramer, 1779",5925238
Dione vanillae,"Dione vanillae (Linnaeus, 1758)",11701883,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dione,Dione vanillae,Dione vanillae,"(Linnaeus, 1758)",11701883
Diplopoda,Diplopoda,361,HIGHERRANK,94,ACCEPTED,CLASS,Animalia,Arthropoda,Diplopoda,,,,,Diplopoda,,361
